cue,answer,randomise_blocks,randomise_trials,display,Image1,Image2,Noise1,Noise2,corrAns,corrAnsPracAllo,Image1PracAllo,Image2PracAllo,Base Deviation,Difference,LeftHead,RightHead,Image1PracEgo,Image2PracEgo,corrAnsPracEgo,
,,2,2,Trials,Male_Left_3.png,Male_Right_7.png,Noise_Male_Left_3.png,Noise_Male_Right_7.png,2,,,,5,2,3,7,,,,
,,2,2,Trials,Male_Right_8.png,Male_Left_2.png,Noise_Male_Right_8.png,Noise_Male_Left_2.png,1,,,,5,3,2,8,,,,
,,2,2,Trials,Male_Left_1.png,Male_Right_9.png,Noise_Male_Left_1.png,Noise_Male_Right_9.png,2,,,,5,4,1,9,,,,
,,2,2,Trials,Male_Right_10.png,Male_Left_0.png,Noise_Male_Right_10.png,Noise_Male_Left_0.png,1,,,,5,5,0,10,,,,
,,2,2,Trials,Male_Left_-1.png,Male_Right_11.png,Noise_Male_Left_-1.png,Noise_Male_Right_11.png,2,,,,5,6,-1,11,,,,
,,2,2,Trials,Male_Right_12.png,Male_Left_-2.png,Noise_Male_Right_12.png,Noise_Male_Left_-2.png,1,,,,5,7,-2,12,,,,
,,2,2,Trials,Male_Left_-3.png,Male_Right_13.png,Noise_Male_Left_-3.png,Noise_Male_Right_13.png,2,,,,5,8,-3,13,,,,
,,2,2,Trials,Male_Right_14.png,Male_Left_-4.png,Noise_Male_Right_14.png,Noise_Male_Left_-4.png,1,,,,5,9,-4,14,,,,
,,2,2,Trials,Male_Left_-5.png,Male_Right_15.png,Noise_Male_Left_-5.png,Noise_Male_Right_15.png,2,,,,5,10,-5,15,,,,
,,,,Break,,,,,,,,,,,,,,,,
,,3,3,Trials,Female_Left_-15.png,Female_Right_5.png,Noise_Female_Left_-15.png,Noise_Female_Right_5.png,2,,,,-5,-10,-15,5,,,,
,,3,3,Trials,Female_Right_4.png,Female_Left_-14.png,Noise_Female_Right_4.png,Noise_Female_Left_-14.png,1,,,,-5,-9,-14,4,,,,
,,3,3,Trials,Female_Left_-13.png,Female_Right_3.png,Noise_Female_Left_-13.png,Noise_Female_Right_3.png,2,,,,-5,-8,-13,3,,,,
,,3,3,Trials,Female_Right_2.png,Female_Left_-12.png,Noise_Female_Right_2.png,Noise_Female_Left_-12.png,1,,,,-5,-7,-12,2,,,,
,,3,3,Trials,Female_Left_-11.png,Female_Right_1.png,Noise_Female_Left_-11.png,Noise_Female_Right_1.png,2,,,,-5,-6,-11,1,,,,
,,3,3,Trials,Female_Right_0.png,Female_Left_-10.png,Noise_Female_Right_0.png,Noise_Female_Left_-10.png,1,,,,-5,-5,-10,0,,,,
,,3,3,Trials,Female_Left_-9.png,Female_Right_-1.png,Noise_Female_Left_-9.png,Noise_Female_Right_-1.png,2,,,,-5,-4,-9,-1,,,,
,,3,3,Trials,Female_Right_-2.png,Female_Left_-8.png,Noise_Female_Right_-2.png,Noise_Female_Left_-8.png,1,,,,-5,-3,-8,-2,,,,
,,3,3,Trials,Female_Left_-7.png,Female_Right_-3.png,Noise_Female_Left_-7.png,Noise_Female_Right_-3.png,2,,,,-5,-2,-7,-3,,,,
,,3,3,Trials,Female_Right_-4.png,Female_Left_-6.png,Noise_Female_Right_-4.png,Noise_Female_Left_-6.png,1,,,,-5,-1,-6,-4,,,,
,,3,3,Trials,Female_Left_-5.png,Female_Right_-5.png,Noise_Female_Left_-5.png,Noise_Female_Right_-5.png,2,,,,-5,0,-5,-5,,,,
,,3,3,Trials,Female_Right_-6.png,Female_Left_-4.png,Noise_Female_Right_-6.png,Noise_Female_Left_-4.png,1,,,,-5,1,-4,-6,,,,
,,3,3,Trials,Female_Left_-3.png,Female_Right_-7.png,Noise_Female_Left_-3.png,Noise_Female_Right_-7.png,2,,,,-5,2,-3,-7,,,,
,,,,Attention,,,,,,,,,,,,,,,,
,,3,3,Trials,Female_Right_-8.png,Female_Left_-2.png,Noise_Female_Right_-8.png,Noise_Female_Left_-2.png,1,,,,-5,3,-2,-8,,,,
,,3,3,Trials,Female_Left_-1.png,Female_Right_-9.png,Noise_Female_Left_-1.png,Noise_Female_Right_-9.png,2,,,,-5,4,-1,-9,,,,
,,3,3,Trials,Female_Right_-10.png,Female_Left_0.png,Noise_Female_Right_-10.png,Noise_Female_Left_0.png,1,,,,-5,5,0,-10,,,,
,,3,3,Trials,Female_Left_1.png,Female_Right_-11.png,Noise_Female_Left_1.png,Noise_Female_Right_-11.png,2,,,,-5,6,1,-11,,,,
,,3,3,Trials,Female_Right_-12.png,Female_Left_2.png,Noise_Female_Right_-12.png,Noise_Female_Left_2.png,1,,,,-5,7,2,-12,,,,
,,3,3,Trials,Female_Left_3.png,Female_Right_-13.png,Noise_Female_Left_3.png,Noise_Female_Right_-13.png,2,,,,-5,8,3,-13,,,,
,,3,3,Trials,Female_Right_-14.png,Female_Left_4.png,Noise_Female_Right_-14.png,Noise_Female_Left_4.png,1,,,,-5,9,4,-14,,,,
,,3,3,Trials,Female_Left_5.png,Female_Right_-15.png,Noise_Female_Left_5.png,Noise_Female_Right_-15.png,2,,,,-5,10,5,-15,,,,
,,3,3,Trials,Male_Right_5.png,Male_Left_-15.png,Noise_Male_Right_5.png,Noise_Male_Left_-15.png,1,,,,-5,-10,-15,5,,,,
,,3,3,Trials,Male_Left_-14.png,Male_Right_4.png,Noise_Male_Left_-14.png,Noise_Male_Right_4.png,2,,,,-5,-9,-14,4,,,,
,,3,3,Trials,Male_Right_3.png,Male_Left_-13.png,Noise_Male_Right_3.png,Noise_Male_Left_-13.png,1,,,,-5,-8,-13,3,,,,
,,3,3,Trials,Male_Left_-12.png,Male_Right_2.png,Noise_Male_Left_-12.png,Noise_Male_Right_2.png,2,,,,-5,-7,-12,2,,,,
,,3,3,Trials,Male_Right_1.png,Male_Left_-11.png,Noise_Male_Right_1.png,Noise_Male_Left_-11.png,1,,,,-5,-6,-11,1,,,,
,,3,3,Trials,Male_Left_-10.png,Male_Right_0.png,Noise_Male_Left_-10.png,Noise_Male_Right_0.png,2,,,,-5,-5,-10,0,,,,
,,3,3,Trials,Male_Right_-1.png,Male_Left_-9.png,Noise_Male_Right_-1.png,Noise_Male_Left_-9.png,1,,,,-5,-4,-9,-1,,,,
,,3,3,Trials,Male_Left_-8.png,Male_Right_-2.png,Noise_Male_Left_-8.png,Noise_Male_Right_-2.png,2,,,,-5,-3,-8,-2,,,,
,,3,3,Trials,Male_Right_-3.png,Male_Left_-7.png,Noise_Male_Right_-3.png,Noise_Male_Left_-7.png,1,,,,-5,-2,-7,-3,,,,
,,3,3,Trials,Male_Left_-6.png,Male_Right_-4.png,Noise_Male_Left_-6.png,Noise_Male_Right_-4.png,2,,,,-5,-1,-6,-4,,,,
,,3,3,Trials,Male_Right_-5.png,Male_Left_-5.png,Noise_Male_Right_-5.png,Noise_Male_Left_-5.png,1,,,,-5,0,-5,-5,,,,
,,3,3,Trials,Male_Left_-4.png,Male_Right_-6.png,Noise_Male_Left_-4.png,Noise_Male_Right_-6.png,2,,,,-5,1,-4,-6,,,,
,,3,3,Trials,Male_Right_-7.png,Male_Left_-3.png,Noise_Male_Right_-7.png,Noise_Male_Left_-3.png,1,,,,-5,2,-3,-7,,,,
,,3,3,Trials,Male_Left_-2.png,Male_Right_-8.png,Noise_Male_Left_-2.png,Noise_Male_Right_-8.png,2,,,,-5,3,-2,-8,,,,
,,3,3,Trials,Male_Right_-9.png,Male_Left_-1.png,Noise_Male_Right_-9.png,Noise_Male_Left_-1.png,1,,,,-5,4,-1,-9,,,,
,,3,3,Trials,Male_Left_0.png,Male_Right_-10.png,Noise_Male_Left_0.png,Noise_Male_Right_-10.png,2,,,,-5,5,0,-10,,,,
,,3,3,Trials,Male_Right_-11.png,Male_Left_1.png,Noise_Male_Right_-11.png,Noise_Male_Left_1.png,1,,,,-5,6,1,-11,,,,
,,3,3,Trials,Male_Left_2.png,Male_Right_-12.png,Noise_Male_Left_2.png,Noise_Male_Right_-12.png,2,,,,-5,7,2,-12,,,,
,,3,3,Trials,Male_Right_-13.png,Male_Left_3.png,Noise_Male_Right_-13.png,Noise_Male_Left_3.png,1,,,,-5,8,3,-13,,,,
,,3,3,Trials,Male_Left_4.png,Male_Right_-14.png,Noise_Male_Left_4.png,Noise_Male_Right_-14.png,2,,,,-5,9,4,-14,,,,
,,3,3,Trials,Male_Right_-15.png,Male_Left_5.png,Noise_Male_Right_-15.png,Noise_Male_Left_5.png,1,,,,-5,10,5,-15,,,,
,,3,3,Trials,Female_Right_-5.png,Female_Left_15.png,Noise_Female_Right_-5.png,Noise_Female_Left_15.png,1,,,,5,-10,15,-5,,,,
,,3,3,Trials,Female_Left_14.png,Female_Right_-4.png,Noise_Female_Left_14.png,Noise_Female_Right_-4.png,2,,,,5,-9,14,-4,,,,
,,3,3,Trials,Female_Right_-3.png,Female_Left_13.png,Noise_Female_Right_-3.png,Noise_Female_Left_13.png,2,,,,5,-8,13,-3,,,,
,,3,3,Trials,Female_Left_12.png,Female_Right_-2.png,Noise_Female_Left_12.png,Noise_Female_Right_-2.png,2,,,,5,-7,12,-2,,,,
,,3,3,Trials,Female_Right_-1.png,Female_Left_11.png,Noise_Female_Right_-1.png,Noise_Female_Left_11.png,1,,,,5,-6,11,-1,,,,
,,,,Attention,,,,,,,,,,,,,,,,
,,3,3,Trials,Female_Left_10.png,Female_Right_0.png,Noise_Female_Left_10.png,Noise_Female_Right_0.png,2,,,,5,-5,10,0,,,,
,,3,3,Trials,Female_Right_1.png,Female_Left_9.png,Noise_Female_Right_1.png,Noise_Female_Left_9.png,1,,,,5,-4,9,1,,,,
,,3,3,Trials,Female_Left_8.png,Female_Right_2.png,Noise_Female_Left_8.png,Noise_Female_Right_2.png,2,,,,5,-3,8,2,,,,
,,3,3,Trials,Female_Right_3.png,Female_Left_7.png,Noise_Female_Right_3.png,Noise_Female_Left_7.png,1,,,,5,-2,7,3,,,,
,,3,3,Trials,Female_Left_6.png,Female_Right_4.png,Noise_Female_Left_6.png,Noise_Female_Right_4.png,2,,,,5,-1,6,4,,,,
,,3,3,Trials,Female_Right_5.png,Female_Left_5.png,Noise_Female_Right_5.png,Noise_Female_Left_5.png,1,,,,5,0,5,5,,,,
,,3,3,Trials,Female_Left_4.png,Female_Right_6.png,Noise_Female_Left_4.png,Noise_Female_Right_6.png,2,,,,5,1,4,6,,,,
,,3,3,Trials,Female_Right_7.png,Female_Left_3.png,Noise_Female_Right_7.png,Noise_Female_Left_3.png,1,,,,5,2,3,7,,,,
,,3,3,Trials,Female_Left_2.png,Female_Right_8.png,Noise_Female_Left_2.png,Noise_Female_Right_8.png,2,,,,5,3,2,8,,,,
,,3,3,Trials,Female_Right_9.png,Female_Left_1.png,Noise_Female_Right_9.png,Noise_Female_Left_1.png,1,,,,5,4,1,9,,,,
,,3,3,Trials,Female_Left_0.png,Female_Right_10.png,Noise_Female_Left_0.png,Noise_Female_Right_10.png,2,,,,5,5,0,10,,,,
,,3,3,Trials,Female_Right_11.png,Female_Left_-1.png,Noise_Female_Right_11.png,Noise_Female_Left_-1.png,1,,,,5,6,-1,11,,,,
,,3,3,Trials,Female_Left_-2.png,Female_Right_12.png,Noise_Female_Left_-2.png,Noise_Female_Right_12.png,2,,,,5,7,-2,12,,,,
,,3,3,Trials,Female_Right_13.png,Female_Left_-3.png,Noise_Female_Right_13.png,Noise_Female_Left_-3.png,1,,,,5,8,-3,13,,,,
,,3,3,Trials,Female_Left_-4.png,Female_Right_14.png,Noise_Female_Left_-4.png,Noise_Female_Right_14.png,2,,,,5,9,-4,14,,,,
,,3,3,Trials,Female_Right_15.png,Female_Left_-5.png,Noise_Female_Right_15.png,Noise_Female_Left_-5.png,1,,,,5,10,-5,15,,,,
,,3,3,Trials,Male_Left_15.png,Male_Right_-5.png,Noise_Male_Left_15.png,Noise_Male_Right_-5.png,2,,,,5,-10,15,-5,,,,
,,3,3,Trials,Male_Right_-4.png,Male_Left_14.png,Noise_Male_Right_-4.png,Noise_Male_Left_14.png,1,,,,5,-9,14,-4,,,,
,,3,3,Trials,Male_Left_13.png,Male_Right_-3.png,Noise_Male_Left_13.png,Noise_Male_Right_-3.png,2,,,,5,-8,13,-3,,,,
,,3,3,Trials,Male_Right_-2.png,Male_Left_12.png,Noise_Male_Right_-2.png,Noise_Male_Left_12.png,1,,,,5,-7,12,-2,,,,
,,3,3,Trials,Male_Left_11.png,Male_Right_-1.png,Noise_Male_Left_11.png,Noise_Male_Right_-1.png,2,,,,5,-6,11,-1,,,,
,,3,3,Trials,Male_Right_0.png,Male_Left_10.png,Noise_Male_Right_0.png,Noise_Male_Left_10.png,1,,,,5,-5,10,0,,,,
,,3,3,Trials,Male_Left_9.png,Male_Right_1.png,Noise_Male_Left_9.png,Noise_Male_Right_1.png,2,,,,5,-4,9,1,,,,
,,,,Attention,,,,,,,,,,,,,,,,
,,3,3,Trials,Male_Right_2.png,Male_Left_8.png,Noise_Male_Right_2.png,Noise_Male_Left_8.png,1,,,,5,-3,8,2,,,,
,,3,3,Trials,Male_Left_7.png,Male_Right_3.png,Noise_Male_Left_7.png,Noise_Male_Right_3.png,2,,,,5,-2,7,3,,,,
,,3,3,Trials,Male_Right_4.png,Male_Left_6.png,Noise_Male_Right_4.png,Noise_Male_Left_6.png,1,,,,5,-1,6,4,,,,
,,3,3,Trials,Male_Left_5.png,Male_Right_5.png,Noise_Male_Left_5.png,Noise_Male_Right_5.png,2,,,,5,0,5,5,,,,
,,3,3,Trials,Male_Right_6.png,Male_Left_4.png,Noise_Male_Right_6.png,Noise_Male_Left_4.png,1,,,,5,1,4,6,,,,
,,3,3,Trials,Male_Left_3.png,Male_Right_7.png,Noise_Male_Left_3.png,Noise_Male_Right_7.png,2,,,,5,2,3,7,,,,
,,3,3,Trials,Male_Right_8.png,Male_Left_2.png,Noise_Male_Right_8.png,Noise_Male_Left_2.png,1,,,,5,3,2,8,,,,
,,3,3,Trials,Male_Left_1.png,Male_Right_9.png,Noise_Male_Left_1.png,Noise_Male_Right_9.png,2,,,,5,4,1,9,,,,
,,3,3,Trials,Male_Right_10.png,Male_Left_0.png,Noise_Male_Right_10.png,Noise_Male_Left_0.png,1,,,,5,5,0,10,,,,
,,3,3,Trials,Male_Left_-1.png,Male_Right_11.png,Noise_Male_Left_-1.png,Noise_Male_Right_11.png,2,,,,5,6,-1,11,,,,
,,3,3,Trials,Male_Right_12.png,Male_Left_-2.png,Noise_Male_Right_12.png,Noise_Male_Left_-2.png,1,,,,5,7,-2,12,,,,
,,3,3,Trials,Male_Left_-3.png,Male_Right_13.png,Noise_Male_Left_-3.png,Noise_Male_Right_13.png,2,,,,5,8,-3,13,,,,
,,3,3,Trials,Male_Right_14.png,Male_Left_-4.png,Noise_Male_Right_14.png,Noise_Male_Left_-4.png,1,,,,5,9,-4,14,,,,
,,3,3,Trials,Male_Left_-5.png,Male_Right_15.png,Noise_Male_Left_-5.png,Noise_Male_Right_15.png,2,,,,5,10,-5,15,,,,
,,,,,,,,,,,,,,,,,,,,
